name;id;results;time;error;timestamps
interactive-short-1-0;0;1;603;false;15
interactive-short-1-1;0;1;104;false;42
interactive-short-1-2;0;1;94;false;45
interactive-short-1-3;0;1;824;false;12
interactive-short-1-4;0;1;441;false;19
interactive-short-2-0;0;0;60000;true;
interactive-short-2-1;0;0;60000;true;
interactive-short-2-2;0;0;60000;true;
interactive-short-2-3;0;0;60000;true;
interactive-short-2-4;0;0;60000;true;
interactive-short-3-0;0;1;60000;true;9280
interactive-short-3-1;0;1;60000;true;9509
interactive-short-3-2;0;0;60000;true;
interactive-short-3-3;0;1;60000;true;3934
interactive-short-3-4;0;1;60000;true;7469
