name;id;results;time;error;timestamps
interactive-discover-1;0;6;12410;false;1495 6766 7025 8699 10335 11491
interactive-discover-1;1;4;551;false;548 548 549 549
interactive-discover-1;2;1;261;false;176
interactive-discover-1;3;14;9549;false;1490 1490 1625 1731 1779 1779 2025 2191 2191 2191 2204 2258 3046 4069
interactive-discover-1;4;8;11278;false;2752 3708 3718 3718 3756 3842 6306 9453
interactive-discover-2;0;66;15230;false;1846 4633 6820 9599 10896 12559 13593 14094 14322 14366 14407 14539 14596 14596 14633 14668 14700 14731 14792 14862 14882 14980 14980 15039 15039 15042 15137 15137 15184 15184 15189 15204 15205 15208 15210 15210 15212 15214 15214 15216 15218 15219 15219 15221 15221 15221 15221 15222 15223 15225 15226 15227 15227 15227 15227 15227 15227 15228 15228 15228 15229 15229 15229 15229 15229 15229
interactive-discover-2;1;46;807;false;704 704 704 780 780 780 782 785 785 785 785 786 786 786 787 789 789 789 793 793 793 795 795 795 795 798 801 801 801 801 802 802 802 802 803 803 804 804 804 804 805 805 805 805 806 806
interactive-discover-2;2;32;399;false;376 384 384 384 387 388 388 389 389 390 391 391 391 391 392 392 393 393 393 393 393 393 394 394 394 395 395 395 398 398 398 398
interactive-discover-2;3;198;14595;false;1983 2519 2703 2726 2726 2749 2772 2841 2841 2841 2867 2922 2922 2922 4369 4528 4550 4550 4640 4690 4736 4792 4792 4818 4838 5063 5109 5198 5334 5334 5382 5440 5665 5800 5943 6005 6059 6059 6155 6155 6155 6258 6334 6334 6334 6461 6646 6727 6746 6746 6837 6856 6856 6856 6900 7174 9415 9454 9822 9902 10081 10136 10365 10432 10507 10507 10649 10712 10712 10859 10964 10985 11029 11081 11135 11304 11353 11404 11451 11526 11643 11643 11877 11898 11951 12029 12056 12240 12347 12347 12396 12533 12578 12628 12628 12780 12780 12900 12900 12950 13051 13095 13187 13240 13319 13319 13355 13485 13553 13591 13631 13631 13676 13713 13777 13816 13873 13873 13891 13974 13974 14007 14083 14121 14140 14191 14240 14250 14292 14305 14326 14392 14392 14438 14438 14443 14443 14458 14458 14475 14475 14484 14484 14502 14502 14506 14506 14520 14522 14522 14531 14533 14538 14539 14539 14541 14543 14543 14543 14548 14557 14559 14563 14564 14567 14571 14571 14572 14576 14576 14577 14577 14578 14580 14580 14580 14581 14582 14583 14584 14584 14584 14586 14588 14588 14589 14590 14591 14591 14591 14594 14594 14594 14594 14595 14595 14595 14595
interactive-discover-2;4;98;14558;false;3449 5019 5049 5090 5112 5169 8345 12044 12558 12570 12606 12638 12682 12721 12721 12787 12821 12821 12878 12924 12963 13043 13070 13182 13182 13264 13264 13291 13336 13336 13336 13410 13494 13494 13526 13608 13745 13745 13793 13810 13845 13845 13889 13961 14010 14028 14166 14166 14217 14231 14256 14302 14302 14352 14385 14440 14488 14511 14514 14514 14527 14530 14530 14531 14539 14541 14541 14546 14547 14547 14547 14547 14549 14550 14550 14550 14551 14551 14551 14551 14552 14552 14553 14553 14553 14553 14553 14556 14556 14557 14557 14557 14557 14557 14558 14558 14558 14558
