name;id;results;time;error;timestamps
interactive-discover-7-0;0;2;60000;true;7641 41596
interactive-discover-7-1;0;1;190;false;150
interactive-discover-7-2;0;1;150;false;70
interactive-discover-7-3;0;1;60000;true;8378
interactive-discover-7-4;0;1;15044;false;3542
interactive-discover-8-0;0;10;25624;false;14908 15295 16079 16079 18439 19047 20226 21016 23188 25044
interactive-discover-8-1;0;9;60000;true;10799 10799 11457 11457 12071 12071 12920 36852 40055
interactive-discover-8-2;0;10;15371;false;11317 11317 12051 12269 12517 13046 13263 13702 14484 15023
interactive-discover-8-3;0;6;60000;true;28495 28495 31539 33406 14266 14266
interactive-discover-8-4;0;5;60000;true;49267 49267 34314 34919 19272
