name;id;results;time;error;timestamps
interactive-discover-1-0;0;6;11170;false;2100 6135 6276 7795 9139 10258
interactive-discover-1-1;0;4;547;false;69 69 85 85
interactive-discover-1-2;0;1;289;false;12
interactive-discover-1-3;0;14;11722;false;263 481 525 566 576 639 667 686 686 715 754 803 849 917
interactive-discover-1-4;0;8;10526;false;2861 3686 3715 3742 3777 3789 6069 8658
interactive-discover-2-0;0;66;17880;false;1733 4910 7014 8526 12927 14288 15773 15819 15847 15910 15976 15998 16035 16072 16124 16172 16197 16242 16291 16344 16366 16415 16486 16539 16575 16610 16640 16659 16673 16694 16732 16758 16766 16776 16801 16834 16838 16852 16876 16909 16958 17037 17071 17095 17110 17155 17545 17580 17720 17739 17750 17778 17802 17829 17860 17868 17871 17875 17878 17878 17878 17878 17879 17879 17879 17879
interactive-discover-2-1;0;46;750;false;530 542 553 568 568 572 575 579 579 581 583 583 584 584 585 585 586 589 589 590 590 590 591 591 594 594 594 594 612 612 612 612 614 614 743 747 747 747 747 747 750 750 750 750 750 750
interactive-discover-2-2;0;32;425;false;349 351 355 359 366 369 371 373 379 379 383 387 387 392 395 395 398 399 400 401 402 402 403 404 404 404 404 407 407 407 407 407
interactive-discover-2-3;0;198;15038;false;538 656 681 876 876 907 959 1060 1069 1177 1206 1239 1263 1362 3213 3250 3299 3377 3665 3695 3773 3833 3912 3941 4034 4083 4187 4244 4302 4380 4472 4512 4573 4647 4691 4779 4817 4898 4979 5060 5060 5168 5259 5344 5371 5433 5554 5651 5736 5795 5818 5923 6016 6076 6130 6176 6278 6383 6424 6482 6522 6600 6693 6717 6796 6870 6937 6959 7117 7188 7216 7250 7305 7358 7395 7413 7476 7531 7580 7601 7694 7770 7844 7911 8007 8103 8360 8435 8543 8640 8682 8799 9035 9097 9143 9167 9318 9357 9437 9508 9543 9587 9652 9688 9739 9828 9866 9910 10010 10045 10095 10143 10229 10242 10282 10316 10397 10411 10497 10507 10589 10631 10991 11028 11075 11140 11176 11260 11283 11343 11895 11946 12018 12067 12161 12207 12298 12343 12386 12463 12538 12605 12629 12703 12799 12839 12930 13005 13048 13107 13651 13680 13719 13764 13839 13860 13898 13923 13945 13977 14002 14012 14028 14052 14076 14081 14084 14092 14099 14100 14104 14106 14112 14112 14113 14113 14593 14593 14594 14594 14594 14597 14599 14599 14599 14600 14600 14600 14845 14845 15035 15035 15035 15035 15038 15038 15038 15038
interactive-discover-2-4;0;98;16395;false;3499 5547 7154 7436 7436 7485 10003 12942 13659 13693 13763 13779 13828 13847 13913 13930 13971 14002 14041 14069 14125 14136 14160 14211 14261 14285 14311 14344 14403 14443 14481 14493 14535 14575 14622 14641 14683 14701 14748 14764 14802 14815 14897 14935 14964 14975 15033 15074 15132 15150 15176 15191 15236 15267 15291 15324 15387 15427 15506 15568 15625 15676 15719 15730 15775 15810 15850 15861 15889 15914 15940 15959 15995 16021 16058 16096 16121 16138 16194 16206 16252 16282 16296 16315 16348 16364 16370 16380 16381 16385 16387 16388 16391 16391 16392 16394 16395 16395
interactive-discover-3-0;0;71;5;false;4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
interactive-discover-3-1;0;67;6;false;5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
interactive-discover-3-2;0;55;1;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
interactive-discover-3-3;0;203;5;false;1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
