name;id;results;time;error;timestamps
interactive-discover-1;0;6;4217;false;386 1470 1538 1604 1648 1669
interactive-discover-1;1;4;754;false;173 176 237 246
interactive-discover-1;2;1;352;false;7
interactive-discover-1;3;14;15689;false;235 423 442 445 445 446 450 450 452 528 532 532 532 533
interactive-discover-1;4;8;6730;false;3210 3227 3234 3248 3271 3287 3287 3306
interactive-discover-2;0;66;60000;true;249 1024 1032 1055 1068 2549 2682 2691 2718 2726 2751 2755 2770 2777 2826 2832 2850 2852 2884 2885 2900 2900 2906 2906 2916 2916 2920 2921 2923 2923 2938 2944 2944 2944 2944 2944 2944 2944 2951 2952 2953 3280 4099 4099 4103 4104 4104 4104 4105 4105 4105 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106
interactive-discover-2;1;46;2978;false;2645 2649 2697 2749 2829 2849 2852 2870 2895 2905 2906 2921 2930 2931 2935 2939 2941 2943 2946 2947 2949 2949 2951 2951 2953 2953 2955 2955 2955 2956 2956 2956 2957 2959 2959 2960 2960 2960 2960 2960 2960 2962 2973 2973 2973 2973
interactive-discover-2;2;32;60000;true;99 101 102 105 105 108 110 110 110 110 111 111 111 111 112 112 112 112 112 113 113 113 113 113 114 114 114 114 115 115 115 115
interactive-discover-2;3;198;60000;true;583 585 587 587 590 590 593 650 650 704 721 728 729 740 2227 2359 3287 3332 3386 3386 3430 3475 3508 3530 3538 3563 3597 3625 3629 3686 3711 3750 3752 3793 3821 3840 3841 3871 3899 3916 3934 3935 3961 3987 5063 5135 5235 5274 5302 5365 5421 5504 5504 5543 5575 5601 5642 5652 5723 5749 5760 5856 5862 5884 5884 5930 5932 5945 5945 5962 5962 5974 5975 6007 6008 6024 6024 6049 6049 6149 6149 6174 6174 6235 6235 6781 6781 6829 6876 6901 6901 6922 6965 6989 6989 7006 7021 7040 7055 7055 7069 7130 7135 7334 7414 8739 8740 8783 8813 8839 8854 8854 8878 8895 8928 8928 9005 9034 9046 9057 9063 9100 9103 9176 9195 9199 9213 9898 9950 9950 9985 10009 10027 10054 10054 10091 10110 10119 10119 10142 10172 10181 10181 10188 10197 10217 10217 10225 10227 10229 10229 10234 10241 10241 10242 10242 10243 10243 10244 10247 10247 10248 10248 10248 10251 10251 10251 10251 10251 10251 10251 10251 10251 10252 10254 10254 10257 10257 10263 10282 10359 10748 10748 10989 10989 10989 10989 10989 10989 10989 10989 10989 10990 10990 10990 10990 10990 10990
interactive-discover-2;4;98;5181;false;1950 1964 2003 2467 2510 2550 2572 2601 2617 2639 2652 2667 2678 2697 2711 2722 2727 2738 2746 2750 2761 2763 2764 2766 2766 2767 2769 2769 2769 2780 2782 2783 2793 2793 2793 2798 2798 2847 3564 3738 3768 5069 5085 5096 5103 5113 5121 5125 5126 5129 5130 5132 5132 5133 5133 5133 5133 5134 5134 5134 5134 5134 5134 5134 5135 5135 5135 5135 5135 5135 5135 5135 5135 5135 5135 5135 5136 5136 5136 5136 5136 5136 5136 5136 5137 5137 5137 5138 5138 5138 5138 5138 5138 5138 5181 5181 5181 5181
