name;id;results;time;error;timestamps
interactive-discover-1;0;6;14167;true;161 838 855 873 896 897
interactive-discover-1;1;4;932;false;183 187 191 192
interactive-discover-1;2;1;820;false;82
interactive-discover-1;3;14;28605;true;3132 3581 3838 3844 3942 4051 4167 4369 4527 4698 4739 4778 4829 4829
interactive-discover-1;4;8;6089;false;1117 1151 1242 1260 1266 1273 1279 1286
interactive-discover-2;0;66;6921;false;320 781 800 818 1258 1544 3056 4598 4639 4673 4715 4749 4761 4767 4777 4791 4801 4801 4813 4820 4825 4825 4830 4831 4835 5666 5668 5671 5683 5683 5683 5685 5685 5685 5685 5691 5691 5692 5692 6649 6650 6650 6651 6653 6653 6654 6654 6654 6654 6654 6654 6654 6654 6885 6886 6886 6887 6887 6887 6887 6888 6888 6888 6888 6920 6921
interactive-discover-2;1;46;1386;false;750 786 790 824 845 859 863 880 887 891 900 917 923 940 966 971 996 1004 1014 1025 1026 1029 1029 1041 1042 1055 1058 1062 1063 1067 1069 1069 1071 1074 1075 1077 1104 1104 1105 1106 1107 1107 1108 1108 1111 1112
interactive-discover-2;2;32;245;true;101 208 223 223 226 227 228 230 231 231 233 233 234 234 235 236 236 237 237 237 237 238 238 238 239 239 239 239 240 240 240 240
interactive-discover-2;3;198;19036;false;1205 1498 1547 1575 1603 3083 3147 3214 3272 3413 3461 3502 4480 4511 4964 5012 5049 5080 6208 6250 6279 6309 6356 6369 6388 6407 6429 6437 6446 6457 6469 6471 6477 6479 6481 6482 6483 6483 6484 6484 6492 6492 6522 6522 6523 6523 6530 9839 9899 9985 10045 10131 10203 11801 11894 11966 12012 12086 12132 12165 12203 12228 12251 12280 12307 12321 12325 12339 12350 12359 12359 12364 12368 12371 12372 12373 12374 12374 12374 12376 12376 12376 12376 12376 12376 12377 12377 12377 12377 12377 12377 12377 12377 12378 12378 12378 12378 12378 12378 12378 12386 12386 12386 12386 12386 12394 12394 12394 12394 12399 12448 12635 12654 14776 14806 14846 14876 14909 14909 14947 15082 15437 15437 17337 17356 17368 17369 17387 17397 17427 17520 17756 17763 18987 18988 18990 18993 18994 18994 18995 18995 18995 18995 18996 18996 18998 18998 18998 18998 18998 18998 18998 18999 18999 18999 18999 18999 18999 18999 18999 18999 18999 19000 19000 19000 19001 19001 19001 19001 19001 19001 19001 19001 19001 19001 19001 19002 19002 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19003 19036
interactive-discover-2;4;98;4120;true;998 998 1019 1602 1632 1722 1732 1751 2047 2073 2082 2114 2134 2134 2154 2868 2887 2901 2931 2937 2944 2944 2951 2955 2956 2956 2957 2957 2958 2958 2958 2958 2958 2958 2958 2959 2959 2959 2959 2959 2959 2959 2968 2968 2968 2968 2974 2981 2982 2982 2988 3668 3669 3669 3669 3669 3670 3673 3673 3674 3674 4117 4117 4117 4117 4117 4118 4118 4118 4118 4118 4118 4118 4118 4118 4118 4118 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119 4119
interactive-discover-3;0;71;3;true;1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
interactive-discover-3;1;0;0;true;
interactive-discover-3;2;55;1;true;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
interactive-discover-3;3;0;0;true;
interactive-discover-3;4;142;6;false;4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
interactive-discover-4;0;5;0;true;0 0 0 0 0
interactive-discover-4;1;3;0;false;0 0 0
interactive-discover-4;2;3;0;false;0 0 0
interactive-discover-4;3;3;0;false;0 0 0
interactive-discover-4;4;7;0;false;0 0 0 0 0 0 0
interactive-discover-5;0;15;5269;false;167 1395 1447 1479 1615 2720 3294 3305 4848 4980 4982 5114 5118 5268 5268
interactive-discover-5;1;3;227;false;141 226 226
interactive-discover-5;2;3;129;false;62 96 96
interactive-discover-5;3;4;4701;false;105 263 490 4145
interactive-discover-5;4;20;5095;false;253 476 785 786 790 1251 1562 2795 4655 4861 4861 4862 4864 5034 5034 5035 5037 5088 5089 5094
interactive-discover-6;0;33;61057;true;6361 6759 7400 7400 8378 8893 9561 10712 11361 14251 15688 17665 18223 20029 21035 21035 23193 24307 24307 26577 27295 27295 29296 30542 30542 32608 33871 33871 36535 37904 37904 41007 48758
interactive-discover-6;1;1;194;false;108
interactive-discover-6;2;1;125;false;53
interactive-discover-6;3;2;60512;true;4900 30803
interactive-discover-6;4;27;10143;false;1909 1925 2704 2710 3452 3455 3455 4515 4523 6731 7845 7878 7887 7891 7896 7897 7899 8322 8388 8407 8858 9272 9272 9846 9852 10141 10142
interactive-discover-7;0;1;60080;true;14402
interactive-discover-7;1;1;165;false;148
interactive-discover-7;2;1;115;false;50
interactive-discover-7;3;2;60278;true;4766 26877
interactive-discover-7;4;1;7627;false;6974
interactive-discover-8;0;10;25701;false;15056 15665 16303 16303 18127 19334 20134 21364 23381 25052
interactive-discover-8;1;8;61473;true;19816 19816 21771 21771 24067 24068 26246 47142
interactive-discover-8;2;10;21220;false;14998 14998 15967 16643 16816 17349 18189 18683 19845 20736
interactive-discover-8;3;6;61990;true;33771 33771 36677 16809 17374 17998
interactive-discover-8;4;5;59820;true;41770 41770 44983 46878 49766
interactive-short-1;0;1;2032;false;543
interactive-short-1;1;1;1841;false;598
interactive-short-1;2;1;1523;false;234
interactive-short-1;3;1;2045;false;208
interactive-short-1;4;1;2007;false;506
interactive-short-2;0;0;42210;true;
interactive-short-2;1;1;59154;true;211
interactive-short-2;2;0;59462;true;
interactive-short-2;3;0;43432;true;
interactive-short-2;4;0;59865;true;
interactive-short-3;0;0;2680;false;
interactive-short-3;1;0;2212;false;
interactive-short-3;2;0;3025;false;
interactive-short-3;3;0;2083;false;
interactive-short-3;4;0;1955;true;
interactive-short-4;0;1;8;false;7
interactive-short-4;1;1;8;false;7
interactive-short-4;2;1;271;false;3
interactive-short-4;3;1;193;false;185
interactive-short-4;4;1;2;false;1
interactive-short-5;0;1;1008;false;119
interactive-short-5;1;1;983;false;416
interactive-short-5;2;1;1331;false;123
interactive-short-5;3;1;732;false;213
interactive-short-5;4;1;934;false;164
interactive-short-6;0;1;60370;true;2495
interactive-short-6;1;0;59679;true;
interactive-short-6;2;0;53492;true;
interactive-short-6;3;1;59130;true;4354
interactive-short-6;4;0;56159;true;
interactive-short-7;0;0;9883;false;
interactive-short-7;1;0;2412;false;
interactive-short-7;2;0;10191;false;
interactive-short-7;3;0;2869;false;
interactive-short-7;4;0;6067;true;
