name;id;results;time;error;timestamps
interactive-discover-1;0;6;4217;false;386 1470 1538 1604 1648 1669
interactive-discover-1-1;0;4;520;false;515 516 516 517
interactive-discover-1-2;0;1;280;false;278
interactive-discover-1;3;14;12217;false;1936 2057 2064 2066 2089 2139 2140 2175 2186 2197 2197 2205 2207 2207
interactive-discover-1;4;8;4518;false;1556 1575 1601 1619 1633 1638 1651 1664
interactive-discover-2;0;66;4107;false;255 406 1393 1412 2245 2265 2333 2365 2405 2432 2450 2480 2498 2512 2532 2553 2573 2584 2599 2619 2623 2628 2631 2634 2635 2636 2636 2636 2639 2645 2645 2655 2656 2656 2657 2657 2670 2694 3582 3583 4102 4102 4104 4104 4104 4105 4105 4105 4105 4105 4105 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106 4106
interactive-discover-2-1;0;46;697;false;675 675 677 678 682 682 683 683 684 685 685 686 686 687 687 688 688 689 689 691 691 691 691 691 692 692 693 693 694 694 694 695 695 695 696 696 696 696 696 696 696 696 697 697 697 697
interactive-discover-2-2;0;32;394;false;387 387 387 388 388 388 389 389 389 390 390 390 390 390 391 391 391 392 392 392 392 393 393 393 393 393 393 393 393 393 393 393
interactive-discover-2;3;198;9891;false;3886 3901 3906 3907 3993 3997 3997 3998 4002 4004 4012 4019 4020 4059 415 436 450 506 506 940 940 970 994 1020 1020 1043 1063 1079 1079 1094 1114 1131 1131 1145 1159 1178 1178 1190 1198 1208 1208 1219 1223 1226 1226 1241 1244 1247 1247 1249 2012 2041 2069 2069 2089 2108 2127 2127 2146 2165 2175 2175 2185 2197 2208 2208 2219 2225 2229 2229 2231 2235 2236 2236 2236 2237 2237 2237 2237 2237 2237 2237 2237 2238 2238 2238 2238 2238 2238 2238 2250 2250 2250 2251 2251 2252 3570 3570 3602 3633 3656 3675 3675 3692 3707 3723 3723 3736 3742 3753 3759 3759 3764 3768 3771 3771 3774 3775 3776 3776 3776 3776 3776 3777 3777 3777 3777 3777 3777 3777 3777 3777 3777 3777 3777 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3785 3785 3787 3787 3793 3793 3820 3869 3869 3959 3986 4007 4007 4031 4090 4090 4193 4512 4513 4513 4513 4513 4513 4513 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514
interactive-discover-2;4;98;5181;false;1950 1964 2003 2467 2510 2550 2572 2601 2617 2639 2652 2667 2678 2697 2711 2722 2727 2738 2746 2750 2761 2763 2764 2766 2766 2767 2769 2769 2769 2780 2782 2783 2793 2793 2793 2798 2798 2847 3564 3738 3768 5069 5085 5096 5103 5113 5121 5125 5126 5129 5130 5132 5132 5133 5133 5133 5133 5134 5134 5134 5134 5134 5134 5134 5135 5135 5135 5135 5135 5135 5135 5135 5135 5135 5135 5135 5136 5136 5136 5136 5136 5136 5136 5136 5137 5137 5137 5138 5138 5138 5138 5138 5138 5138 5181 5181 5181 5181
interactive-discover-3;0;71;3;false;2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
interactive-discover-3-1;0;0;600060000;true;
interactive-discover-3-2;0;55;2;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3-3;0;203;13;false;4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
interactive-discover-3;4;142;6;false;4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
interactive-discover-4;0;5;0;false;0 0 0 0 0
interactive-discover-4;1;3;0;false;0 0 0
interactive-discover-4;2;3;0;false;0 0 0
interactive-discover-4;3;3;0;false;0 0 0
interactive-discover-4;4;7;0;false;0 0 0 0 0 0 0
interactive-discover-5-0;0;15;3992;false;327 1849 1851 1851 1855 1862 2479 2480 3203 3246 3988 3989 3991 3991 3991
interactive-discover-5-1;0;3;213;false;67 176 196
interactive-discover-5;2;3;113;false;43 82 82
interactive-discover-5;3;4;3239;false;122 245 631 2210
interactive-discover-5-4;0;20;3401;false;397 405 747 749 753 1063 1504 2001 2761 2764 2764 2767 3396 3399 3399 3399 3400 3400 3401 3401
interactive-discover-6-0;0;0;600060000;true;
interactive-discover-6;1;1;132;false;95
interactive-discover-6;2;1;106;false;53
interactive-discover-6-3;0;0;600060000;true;
interactive-discover-6;4;27;8144;false;1599 1742 1773 1797 2169 2170 2865 2949 4050 4258 4268 4611 4618 4924 4978 5023 6410 6437 7593 7755 7758 7758 7761 7761 8128 8128 8129
interactive-discover-7-0;0;1;600060000;true;19558
interactive-discover-7;1;1;156;false;138
interactive-discover-7;2;1;110;false;56
interactive-discover-7-3;0;1;600060000;true;3837
interactive-discover-7;4;1;6640;false;5962
interactive-discover-8;0;10;25409;false;14723 15308 15888 16476 17446 18805 19793 21178 22973 24818
interactive-discover-8-1;0;10;33157;false;27144 27144 28532 28532 30041 30041 30765 30765 32184 32184
interactive-discover-8;2;10;14653;false;10605 10605 11020 11249 11558 11990 12199 12649 13495 14285
interactive-discover-8-3;0;8;600060000;true;42683 42685 46921 46921 52640 52640 57340 57340
interactive-discover-8-4;0;10;600060000;true;47572 47574 49448 49448 52863 52863 56473 56473 60633 60634
interactive-short-1;0;0;17;false;
interactive-short-1;1;0;7;false;
interactive-short-1;2;0;9;false;
interactive-short-1;3;0;9;false;
interactive-short-1;4;0;6;false;
interactive-short-2-0;0;0;600060000;true;
interactive-short-2-1;0;2;600060000;true;2608 13229
interactive-short-2-2;0;1;600060000;true;1621
interactive-short-2-3;0;10;7525;false;4976 7034 7091 7157 7202 7253 7305 7352 7401 7514
interactive-short-2-4;0;0;600060000;true;
interactive-short-3;0;0;4;false;
interactive-short-3;1;0;6;false;
interactive-short-3;2;0;34;false;
interactive-short-3;3;0;11;false;
interactive-short-3;4;0;262;false;
interactive-short-4;0;1;7;false;4
interactive-short-4-1;0;1;1;false;0
interactive-short-4;2;1;6;false;2
interactive-short-4;3;1;193;false;185
interactive-short-4;4;1;0;false;0
interactive-short-5;0;0;385;false;
interactive-short-5;1;0;5;false;
interactive-short-5;2;0;428;false;
interactive-short-5;3;0;11;false;
interactive-short-5;4;0;433;false;
interactive-short-6-0;0;0;600060000;true;
interactive-short-6-1;0;0;600060000;true;
interactive-short-6-2;0;0;600060000;true;
interactive-short-6-3;0;1;600060000;true;12343
interactive-short-6-4;0;0;600060000;true;
interactive-short-7;0;0;12;false;
interactive-short-7;1;0;10;false;
interactive-short-7;2;0;24;false;
interactive-short-7;3;0;84;false;
interactive-short-7;4;0;103;false;
