name;id;results;time;error;timestamps
interactive-discover-1;0;6;60000;true;10477 14562 17299 25146 32194 15621
interactive-discover-1;1;4;2693;false;792 2691 2691 2692
interactive-discover-1;2;1;2028;false;2027
interactive-discover-1;3;14;9633;false;2885 2931 2973 3011 3028 4541 4562 4594 4641 4664 4715 4731 5396 5412
interactive-discover-1;4;8;13114;false;5532 6438 6502 6536 6569 6894 9302 11671
interactive-discover-2;0;66;14494;false;750 6507 6738 8911 10508 11789 11832 11883 11922 11922 11958 11995 12045 12155 12191 12221 12247 12258 12282 12298 12304 12313 12338 12346 12346 12349 12352 12352 12356 12356 12373 12379 12384 12384 12408 12411 12412 12413 12413 12413 12413 12413 12413 12414 12414 12414 12414 12415 12415 12415 12415 12416 12416 12417 12417 12417 12417 12418 12418 12418 12418 12418 12418 12419 12419 12419
interactive-discover-2;1;46;3021;false;1096 1099 1100 1100 1206 1222 1223 1223 1224 1224 1225 1226 1226 1227 1227 1228 1229 1230 1230 1231 1232 1232 1233 1233 1234 1234 1234 1235 1235 1235 1236 1236 1237 1237 1237 1238 1238 1238 1239 1239 1239 1239 1239 1239 1240 1240
interactive-discover-2;2;32;2196;false;681 867 895 897 897 898 903 903 907 907 907 908 908 908 908 909 909 909 909 912 912 918 930 930 1015 1052 1052 1057 1061 1061 1062 1063
interactive-discover-2;3;198;13227;false;3714 3739 3888 4047 4079 4079 4112 4144 4171 4171 4202 4232 4250 4276 4098 4122 4176 4214 4290 4344 4404 4429 4497 4524 4566 4585 4617 4632 4657 4691 4809 4809 4865 4896 4990 5069 5090 5125 5218 5264 5358 5389 5568 5587 5632 5645 5716 5749 5766 5799 5828 5855 5957 5965 6027 6034 7943 7997 8021 8087 8148 8204 8241 8279 8341 8422 8493 8586 8586 8653 8736 8802 8857 8917 8932 8977 9056 9135 9183 9555 9622 9673 9972 10008 10035 10084 10127 10149 10165 10204 10230 10246 10258 10285 10314 10324 10331 10350 10362 10376 10376 10385 10405 10409 10417 10427 10431 10443 10448 10465 10469 10520 10539 10551 10564 10589 10682 10694 10716 10726 10762 10798 10855 10868 10876 10888 10935 10964 10977 10982 10996 10998 11035 11037 11040 11042 11044 11052 11054 11054 11059 11065 11066 11067 11069 11070 11072 11073 11078 11078 11082 11085 11085 11087 11088 11088 11090 11091 11093 11094 11095 11097 11097 11098 11099 11099 11099 11099 11101 11101 11101 11101 11101 11103 11103 11103 11103 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104 11104
interactive-discover-2;4;98;60000;true;5255 5634 5648 5663 5696 6009 7106 8078 947 956 965 971 971 978 989 1012 1022 1022 1031 1043 1076 1100 1100 1113 1134 1154 1169 1169 1181 1199 1227 1240 1245 1245 1259 1280 1291 1291 1327 1335 1344 1359 1359 1384 1388 1388 1395 1397 1402 1403 1407 1407 1408 1409 1409 1409 1410 1410 1410 1411 1411 1411 1411 1411 1411 1412 1412 1412 1412 1412 1412 1412 1412 1413 1414 1414 1414 1414 1414 1414 1414 1414 1414 1414 1414 1414 1414 1414 1415 1415 1415 1415 1415 1415 1415 1415 1415 1415
interactive-discover-3;0;71;2;false;1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3;1;67;2;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3;2;55;2;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
interactive-discover-3;3;0;60000;true;
interactive-discover-3;4;142;4;false;3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
interactive-discover-4;0;5;0;false;0 0 0 0 0
interactive-discover-4;1;3;0;false;0 0 0
interactive-discover-4;2;3;0;false;0 0 0
interactive-discover-4;3;3;0;false;0 0 0
interactive-discover-4;4;7;0;false;0 0 0 0 0 0 0
interactive-discover-5;0;15;6046;false;2331 3628 4216 4217 4225 4365 4620 4631 5186 5697 5977 5980 6033 6033 6033
interactive-discover-5;1;3;1424;false;353 417 457
interactive-discover-5;2;3;1441;false;324 385 391
interactive-discover-5;3;4;4140;false;1132 1180 442 1381
interactive-discover-5;4;20;4944;false;2306 2341 2552 2657 2669 2984 3414 3416 4158 4160 4164 4717 4718 2039 2177 2179 2265 2265 2265 2265
interactive-discover-6;0;0;60000;true;
interactive-discover-6;1;1;2294;false;2292
interactive-discover-6;2;1;1888;false;1887
interactive-discover-6;3;0;60000;true;
interactive-discover-6;4;27;14932;false;3977 4130 4354 4483 4484 4508 4565 4578 4580 7537 7664 9892 10096 10099 10131 10134 10137 10138 10139 10141 10165 11991 12011 13438 14929 14930 14930
interactive-discover-7;0;1;60000;true;13903
interactive-discover-7;1;1;1291;false;706
interactive-discover-7;2;1;943;false;493
interactive-discover-7;3;1;60000;true;5696
interactive-discover-7;4;1;21545;false;4860
interactive-discover-8;0;10;19270;false;10560 10560 11619 12615 13764 14733 15339 16270 17029 18798
interactive-discover-8;1;10;13486;false;7176 7176 8412 8412 8984 8984 11917 11917 12985 12985
interactive-discover-8;2;10;19360;false;12311 12312 13473 13473 14643 14643 15772 16913 17701 18629
interactive-discover-8;3;10;17553;false;9509 9551 14687 14687 15201 15215 15698 16087 16735 17034
interactive-discover-8;4;10;37812;false;29026 29252 30582 31104 32098 32502 34458 34459 36500 36500
interactive-short-1;0;0;94;false;
interactive-short-1;1;0;948;false;
interactive-short-1;2;0;199;false;
interactive-short-1;3;0;60000;true;
interactive-short-1;4;0;88;false;
interactive-short-2;0;0;60000;true;
interactive-short-2;1;0;60000;true;
interactive-short-2;2;2;60000;true;395 429
interactive-short-2;3;10;60000;true;1327 4191 4211 4238 4266 4290 4313 4331 4351 4375
interactive-short-2;4;0;60000;true;
interactive-short-3;0;0;134;false;
interactive-short-3;1;0;144;false;
interactive-short-3;2;0;554;false;
interactive-short-3;3;0;401;false;
interactive-short-3;4;0;341;false;
