name;id;results;time;error;timestamps
interactive-discover-1;0;6;43059;true;9690 26917 27881 35527 3257 3621
interactive-discover-1;1;4;1029;false;888 890 904 904
interactive-discover-1;2;1;788;false;787
interactive-discover-1;3;14;11855;false;3297 3361 3717 3765 3801 3819 3897 3953 4874 4913 4965 5658 5711 6691
interactive-discover-1;4;8;12343;false;3337 4193 4282 4315 4351 4816 7680 9928
interactive-discover-2;0;66;16938;false;2559 3303 8373 8609 10901 13634 15127 15651 15696 16608 16635 16672 16713 16739 16770 16785 16821 16830 16842 16864 16889 16889 16902 16905 16907 16907 16913 16914 16915 16916 16917 16920 16920 16921 16922 16922 16923 16924 16924 16925 16925 16926 16927 16931 16931 16932 16932 16933 16933 16935 16935 16935 16935 16935 16936 16936 16936 16936 16937 16937 16937 16937 16937 16938 16938 16938
interactive-discover-2;1;46;903;false;875 878 879 879 880 881 883 884 885 887 887 888 889 890 891 892 893 893 894 896 896 897 897 897 898 898 899 899 899 899 900 900 900 901 901 901 902 902 902 902 902 902 902 903 903 903
interactive-discover-2;2;32;483;false;468 472 474 474 474 475 475 476 476 476 476 477 477 478 478 480 481 481 481 481 481 482 482 482 482 482 482 483 483 483 483 483
interactive-discover-2;3;198;18112;false;1477 2651 2675 2698 2736 2778 2794 2823 2836 2876 2890 2916 2930 2959 6698 6727 6835 6945 7000 7029 7117 7203 7362 7442 7504 7537 7585 7632 7673 7722 7751 7769 7847 7892 7914 7931 7981 8039 8070 8079 8105 8131 8185 8207 8248 8276 8662 8702 8832 8885 8944 9026 9069 9108 9194 9219 12885 12959 13045 13126 13241 13311 13403 13658 13733 13888 13888 14049 14138 14286 14331 14463 14554 14680 14732 14841 14916 15074 15222 15295 15388 15513 15808 15909 16003 16518 17301 17358 17382 17411 17463 17514 17525 17557 17612 17654 17663 17686 17715 17743 17753 17759 17776 17783 17786 17790 17794 17800 17806 17809 17814 17822 17824 17828 17831 17836 17841 17842 17847 17851 17854 17859 17861 17867 17869 17870 17873 17875 17877 17881 17884 17888 17889 17896 17897 17899 17902 17903 17904 17906 17909 17910 17912 17914 17917 17918 17920 17922 17922 17923 17925 17925 17926 17927 17927 17928 17929 17929 17930 17931 17931 17931 17931 17931 17931 17931 17932 17932 17932 17932 17932 17932 17932 17933 17933 17933 17935 17935 17935 17935 17935 17935 17935 17935 17935 17935 17935 17936 17936 17936 18111 18111 18111 18111 18111 18111 18111 18111
interactive-discover-2;4;98;9381;true;2693 3606 3637 3660 3660 3685 5686 8072 8450 8499 8515 8551 8566 8614 8614 8654 8674 8713 8713 8762 8775 8841 8847 8878 8889 8909 8913 8969 8999 9011 9023 9067 9074 9112 9112 9132 9147 9183 9183 9199 9208 9234 9234 9256 9260 9274 9300 9302 9308 9321 9327 9328 9348 9351 9353 9358 9360 9364 9367 9371 9371 9372 9372 9375 9376 9376 9376 9377 9377 9377 9377 9377 9377 9377 9378 9378 9378 9378 9378 9378 9378 9378 9379 9379 9379 9379 9379 9379 9379 9380 9380 9380 9380 9380 9380 9381 9381 9381
interactive-discover-3;0;71;3;false;2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3
interactive-discover-3;1;67;2;false;1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3;2;55;2;false;1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3;3;203;7;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
interactive-discover-3;4;142;4;false;2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
interactive-discover-4;0;5;0;false;0 0 0 0 0
interactive-discover-4;1;3;0;false;0 0 0
interactive-discover-4;2;3;0;false;0 0 0
interactive-discover-4;3;3;0;false;0 0 0
interactive-discover-4;4;7;0;false;0 0 0 0 0 0 0
interactive-discover-5;0;15;3891;false;530 1305 1672 1681 2187 2202 2262 2290 2441 2976 3296 3769 3888 3888 3890
interactive-discover-5;1;3;177;false;76 149 154
interactive-discover-5;2;3;128;false;62 68 79
interactive-discover-5;3;4;3326;false;107 162 968 2340
interactive-discover-5;4;20;3359;false;271 443 675 838 1019 1418 1608 1618 2217 2368 2381 2578 2842 3224 3227 3328 3329 3330 3359 3359
interactive-discover-6;0;0;60160;true;
interactive-discover-6;1;1;410;false;407
interactive-discover-6;2;1;269;false;269
interactive-discover-6;3;0;60340;true;
interactive-discover-6;4;27;12398;false;2307 2544 2657 2668 2915 2916 2916 5498 7029 7160 7168 7220 7224 7225 7246 7363 7755 7970 7975 8660 11030 11079 11329 11473 11477 11478 11480
interactive-discover-7;0;1;60314;true;12059
interactive-discover-7;1;1;461;false;460
interactive-discover-7;2;1;276;false;275
interactive-discover-7;3;1;60266;true;5206
interactive-discover-7;4;1;19470;false;3874
interactive-discover-8;0;2;47938;true;9426 9842
interactive-discover-8;1;10;31453;true;26237 26237 27946 27946 29574 29574 10127 10127 11064 11064
interactive-discover-8;2;10;18516;false;7441 9845 10655 14140 14690 15346 15641 16995 17423 18282
interactive-discover-8;3;10;11373;false;9226 9261 9514 9514 10085 10138 10449 10520 11042 11042
interactive-discover-8;4;10;15865;false;10763 10763 11738 11854 12181 13296 13296 14256 14368 15167
interactive-short-1;0;0;10;false;
interactive-short-1;1;0;15;false;
interactive-short-1;2;0;9;false;
interactive-short-1;3;0;10;false;
interactive-short-1;4;0;11;false;
interactive-short-2;0;0;60880;true;
interactive-short-2;1;0;60488;true;
interactive-short-2;2;0;60558;true;
interactive-short-2;3;0;60154;true;
interactive-short-2;4;0;60657;true;
interactive-short-3;0;0;27;false;
interactive-short-3;1;0;61;false;
interactive-short-3;2;0;570;false;
interactive-short-3;3;0;30;false;
interactive-short-3;4;0;1083;false;
interactive-short-4;0;0;71;false;
interactive-short-4;1;1;458;false;0
interactive-short-4;2;1;78;false;4
interactive-short-4;3;1;134;false;0
interactive-short-4;4;1;2;true;2
interactive-short-5;0;0;289;false;
interactive-short-5;1;0;2;false;
interactive-short-5;2;0;292;false;
interactive-short-5;3;0;5;false;
interactive-short-5;4;0;302;false;
interactive-short-6;0;0;59773;true;
interactive-short-6;1;0;55867;true;
interactive-short-6;2;0;45052;true;
interactive-short-6;3;1;61472;true;470
interactive-short-6;4;0;60884;true;
interactive-short-7;0;0;3703;false;
interactive-short-7;1;0;19;false;
interactive-short-7;2;0;5751;true;
interactive-short-7;3;0;122;false;
interactive-short-7;4;0;82;false;
