name;id;results;time;error;timestamps
interactive-discover-1;0;6;9367;false;2951 3242 3486 3539 3568 3636
interactive-discover-1;1;4;60000;true;245 253 253 258
interactive-discover-1;2;1;3071;false;558
interactive-discover-1;3;14;12217;false;1936 2057 2064 2066 2089 2139 2140 2175 2186 2197 2197 2205 2207 2207
interactive-discover-1;4;8;15962;false;2425 2532 2561 2589 2676 2756 2779 2803
interactive-discover-2;0;66;60000;true;11860 11962 12212 12212 12758 13189 13571 13711 13891 14315 14525 14732 14844 15161 15583 678 699 699 709 717 732 732 736 738 739 740 740 741 741 741 741 741 741 741 741 741 741 748 748 748 748 748 748 748 748 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024 1024
interactive-discover-2;1;46;5418;false;876 880 884 886 2359 2382 2404 2411 2427 2439 2461 2491 2496 2515 2532 2539 2541 2548 2562 2563 2587 2604 2606 2609 2620 2628 2630 2641 2647 2647 2654 2660 2667 2669 2672 2677 2683 2700 2705 2707 2745 2747 2748 2748 2749 2754
interactive-discover-2;2;32;6946;false;3718 3913 4096 4235 4293 4293 4329 4364 4507 4546 4580 4617 4672 4715 4742 4767 4806 4919 5020 5133 5212 5315 5356 5391 5447 5509 5574 5652 5683 5704 5780 5840
interactive-discover-2;3;198;9891;false;3886 3901 3906 3907 3993 3997 3997 3998 4002 4004 4012 4019 4020 4059 415 436 450 506 506 940 940 970 994 1020 1020 1043 1063 1079 1079 1094 1114 1131 1131 1145 1159 1178 1178 1190 1198 1208 1208 1219 1223 1226 1226 1241 1244 1247 1247 1249 2012 2041 2069 2069 2089 2108 2127 2127 2146 2165 2175 2175 2185 2197 2208 2208 2219 2225 2229 2229 2231 2235 2236 2236 2236 2237 2237 2237 2237 2237 2237 2237 2237 2238 2238 2238 2238 2238 2238 2238 2250 2250 2250 2251 2251 2252 3570 3570 3602 3633 3656 3675 3675 3692 3707 3723 3723 3736 3742 3753 3759 3759 3764 3768 3771 3771 3774 3775 3776 3776 3776 3776 3776 3777 3777 3777 3777 3777 3777 3777 3777 3777 3777 3777 3777 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3785 3785 3787 3787 3793 3793 3820 3869 3869 3959 3986 4007 4007 4031 4090 4090 4193 4512 4513 4513 4513 4513 4513 4513 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514 4514
interactive-discover-2;4;98;7171;false;2224 2230 2242 2256 2265 2265 2268 2272 541 561 578 594 608 608 618 624 632 632 646 688 697 697 707 721 747 747 751 753 755 755 758 759 763 763 764 771 771 773 773 773 775 776 799 799 889 916 916 928 1274 1286 1304 1316 1316 1325 1331 1341 1341 1348 1350 1350 1350 1351 1352 1352 1352 1352 1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 1353 1354 1354 1354 1354 1354 1354 1354 1354 1354 1354 1354 1354 1354 1377 1377
interactive-discover-3;0;71;8;false;5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
interactive-discover-3;1;0;60000;true;
interactive-discover-3;2;55;60000;true;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
interactive-discover-3;3;0;60000;true;
interactive-discover-3;4;142;7;false;3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
interactive-discover-4;0;5;0;false;0 0 0 0 0
interactive-discover-4;1;3;0;false;0 0 0
interactive-discover-4;2;3;0;false;0 0 0
interactive-discover-4;3;3;0;false;0 0 0
interactive-discover-4;4;7;0;false;0 0 0 0 0 0 0
interactive-discover-5;0;15;5058;false;1235 2536 3296 3612 3612 3868 3888 3992 3995 4335 4646 5016 5019 5019 5058
interactive-discover-5;1;3;679;false;165 260 260
interactive-discover-5;2;3;168;false;54 86 100
interactive-discover-5;3;4;4158;false;625 648 193 1406
interactive-discover-5;4;20;4189;false;834 854 1169 1170 1170 1629 2391 2594 3122 3432 3433 3786 3790 4060 4062 4177 4178 4179 4183 4188
interactive-discover-6;0;15;60000;true;7262 8584 9338 13462 17897 18330 24504 11197 19983 20430 23271 26252 27629 34419 37176
interactive-discover-6;1;1;366;false;184
interactive-discover-6;2;1;148;false;77
interactive-discover-6;3;2;60000;true;10195 24186
interactive-discover-6;4;27;8316;false;1806 1806 1855 1855 1944 1952 2674 3581 4414 4433 4433 4435 4437 4452 6677 7929 7964 7969 7971 7973 7974 7974 7975 7976 7977 8217 8315
interactive-discover-7;0;1;60000;true;7957
interactive-discover-7;1;1;165;false;157
interactive-discover-7;2;1;116;false;55
interactive-discover-7;3;2;60000;true;5189 28955
interactive-discover-7;4;1;14739;false;3228
interactive-discover-8;0;10;33926;false;14664 15043 15793 15981 17531 18477 19648 20606 24337 30830
interactive-discover-8;1;8;60000;true;17859 17859 20061 20061 22411 22411 24780 52218
interactive-discover-8;2;10;18003;false;10952 10952 11573 11902 12002 12401 12984 13340 15934 17209
interactive-discover-8;3;0;60000;true;
interactive-discover-8;4;5;60000;true;44466 44466 48790 49439 17276
interactive-short-1;0;0;108;false;
interactive-short-1;1;0;99;false;
interactive-short-1;2;0;106;false;
interactive-short-1;3;1;107;false;13
interactive-short-1;4;0;114;false;
interactive-short-2;0;0;60000;true;
interactive-short-2;1;0;60000;true;
interactive-short-2;2;0;60000;true;
interactive-short-2;3;0;60000;true;
interactive-short-2;4;0;60000;true;
interactive-short-3;0;0;184;false;
interactive-short-3;1;0;208;false;
interactive-short-3;2;0;269;false;
interactive-short-3;3;0;960;false;
interactive-short-3;4;0;760;false;
interactive-short-4;0;0;437;false;
interactive-short-4;1;0;516;false;
interactive-short-4;2;0;605;false;
interactive-short-4;3;0;824;false;
interactive-short-4;4;0;419;false;
interactive-short-5;0;0;708;false;
interactive-short-5;1;0;584;false;
interactive-short-5;2;0;1095;false;
interactive-short-5;3;0;831;false;
interactive-short-5;4;0;843;false;
interactive-short-6;0;0;60000;true;
interactive-short-6;1;0;60000;true;
interactive-short-6;2;0;60000;true;
interactive-short-6;3;0;60000;true;
interactive-short-6;4;0;60000;true;
interactive-short-7;0;0;254;false;
interactive-short-7;1;0;254;false;
interactive-short-7;2;0;963;false;
interactive-short-7;3;0;193;false;
interactive-short-7;4;0;323;false;
