name;id;results;time;error;timestamps
interactive-discover-1;0;6;12704;false;2882 4778 4819 5489 6132 6586
interactive-discover-1;1;4;7695;false;1730 1733 1737 1759
interactive-discover-1;2;1;7235;false;6991
interactive-discover-1;3;14;13795;false;5576 5904 5917 5932 7111 7111 7155 7186 7222 7222 7254 7281 7301 7311
interactive-discover-1;4;8;8671;false;3193 3546 3566 3577 3607 3649 4372 5206
interactive-discover-2;0;66;20801;false;3396 5318 5377 5945 6587 7111 7175 7177 7202 7202 7240 7243 7265 7266 7310 7310 7339 7340 7347 7348 7367 7367 7371 7372 7373 7373 7375 7375 7381 7381 7382 7382 7386 7386 7646 7697 7697 7703 7703 7703 7703 7704 7705 7705 7705 7707 7707 7708 7708 7709 7709 7709 7710 7711 7712 7712 7712 7712 7712 7713 7713 7713 7713 7713 7713 7713
interactive-discover-2;1;46;12896;false;1373 1374 1374 1376 1737 1763 1764 1764 1765 1765 1766 1766 1770 1770 1772 1772 1775 1775 1776 1776 1777 1778 1778 1779 1780 1781 1781 1781 1781 1782 1782 1783 1783 1784 1784 1784 1785 1785 1785 1787 1787 1788 1789 1789 1789 1789
interactive-discover-2;2;32;6945;false;1351 1712 1713 1714 1715 1715 1717 1717 1718 1718 1718 1718 1719 1720 1720 1721 1721 1721 1721 1722 1722 1731 1731 1732 1733 1733 1733 1733 1733 1733 1733 1733
interactive-discover-2;3;198;21669;false;5096 5204 5311 5409 5506 5506 5598 5710 5791 5855 5855 5936 6026 6080 6080 6130 6192 6242 6278 6278 6319 6409 6593 6660 6660 6729 6848 7043 7043 7113 7160 7244 7338 7390 7390 7428 7489 7533 7561 7603 7603 7688 7913 7987 7987 8032 8152 8359 8359 8427 8463 8501 8567 8567 8634 8660 11270 11453 11453 11701 11701 11874 11874 11970 11970 12155 12155 12315 12315 12520 12520 13544 13645 13727 13866 13866 13952 14018 14072 14072 14168 14248 14285 14285 14363 14415 14453 14453 14467 14519 14670 14670 14761 14942 15028 15028 15186 15252 15322 15322 15407 15571 15656 15656 15696 15736 15830 15830 15853 15872 15889 15889 15918 15934 15941 15941 15946 15951 15958 15958 15971 15977 15977 15979 15981 15988 15988 15995 16000 16000 16009 16011 16016 16017 16022 16028 16028 16030 16032 16032 16032 16034 16034 16034 16042 16042 16045 16052 16056 16056 16062 16071 16071 16099 16182 16182 16212 16226 16239 16239 16269 16349 16349 16371 16390 16390 16412 16465 16465 16505 16524 16524 16539 16581 16581 16597 16600 16600 16601 16603 16604 16604 16604 16604 16604 16605 16605 16605 16605 16605 16605 16605 16605 16605 16605 16607 16607 16607
interactive-discover-2;4;98;27732;true;1929 2409 2434 2434 2468 2468 3523 4834 4864 4864 4903 4903 4933 4933 4954 4954 4985 4985 5004 5004 5031 5031 5075 5075 5087 5087 5138 5138 5148 5148 5177 5177 5202 5202 5217 5217 5267 5267 5304 5304 5344 5344 5384 5384 5408 5408 5420 5420 5431 5431 5440 5440 5452 5452 5454 5454 5472 5472 5526 5526 5566 5566 5589 5589 5645 5645 5655 5655 5663 5663 5663 5663 5664 5664 5665 5665 5665 5665 5667 5667 5672 5672 5677 5677 5679 5679 5685 5685 5688 5688 5690 5690 5691 5691 5691 5691 5691 5691
interactive-discover-3;0;71;7;false;2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 6 6 6 6 6 6
interactive-discover-3;1;0;27;true;
interactive-discover-3;2;55;4;false;3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
interactive-discover-3;3;203;12;false;3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
interactive-discover-3;4;142;5;false;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
interactive-discover-4;0;5;2;false;0 0 0 0 0
interactive-discover-4;1;3;2;false;1 1 1
interactive-discover-4;2;3;1;false;0 0 0
interactive-discover-4;3;3;0;false;0 0 0
interactive-discover-4;4;7;0;false;0 0 0 0 0 0 0
interactive-discover-5;0;15;6753;false;157 958 1866 1867 2021 2026 2029 2030 2519 3497 3497 3497 3498 3498 3498
interactive-discover-5;1;3;4289;false;884 1110 1112
interactive-discover-5;2;3;2553;false;638 788 809
interactive-discover-5;3;4;5891;false;2078 2173 417 2356
interactive-discover-5;4;20;5784;false;335 389 456 477 712 731 1030 1687 2758 2758 2758 3253 3255 3255 3256 3257 3324 3325 3326 3348
interactive-discover-6;0;0;44151;true;
interactive-discover-6;1;1;2957;false;2956
interactive-discover-6;2;1;2257;false;2257
interactive-discover-6;3;0;59647;true;
interactive-discover-6;4;27;11440;false;9237 9256 9272 9303 9303 9311 9318 9318 9322 9324 9324 9326 9327 9327 9330 9331 9331 9332 9333 9333 9334 9334 9334 9335 9335 9335 9336
interactive-discover-7;0;1;42310;true;9347
interactive-discover-7;1;1;2430;false;1249
interactive-discover-7;2;1;1937;false;975
interactive-discover-7;3;1;60176;true;4998
interactive-discover-7;4;1;12395;false;9117
interactive-discover-8;0;10;20188;false;14402 14522 15021 15166 16656 17260 17615 17814 18769 19404
interactive-discover-8;1;10;19227;false;12618 12618 13622 13622 14707 14707 15292 15292 16026 18817
interactive-discover-8;2;10;15377;false;10886 10886 11732 11732 12810 13169 13871 14282 14706 15356
interactive-discover-8;3;10;43241;false;25799 25799 27256 27256 32366 32366 35415 35521 39465 41153
interactive-discover-8;4;10;38186;false;21131 21139 23053 23053 25110 25111 29146 29147 37010 37012
interactive-short-1;0;1;2540;false;941
interactive-short-1;1;1;1410;false;1251
interactive-short-1;2;1;1380;false;755
interactive-short-1;3;1;1218;true;440
interactive-short-1;4;1;2090;false;522
interactive-short-2;0;0;43121;true;
interactive-short-2;1;0;37795;true;
interactive-short-2;2;0;54575;true;
interactive-short-2;3;10;25473;true;3395 4892 4951 5030 5249 5327 5378 5430 5472 5528
interactive-short-2;4;10;28801;true;8302 8381 8451 8511 8553 8628 8681 8741 8814 8863
interactive-short-3;0;0;2029;false;
interactive-short-3;1;0;1989;false;
interactive-short-3;2;0;3172;false;
interactive-short-3;3;0;2780;false;
interactive-short-3;4;0;3699;false;
interactive-short-4;0;0;1309;false;
interactive-short-4;1;1;1581;false;10
interactive-short-4;2;1;1339;false;7
interactive-short-4;3;1;4451;false;2
interactive-short-4;4;1;1585;false;4
interactive-short-5;0;0;5846;false;
interactive-short-5;1;0;8435;false;
interactive-short-5;2;0;6409;false;
interactive-short-5;3;0;3582;false;
interactive-short-5;4;1;4056;false;384
interactive-short-6;0;0;56330;true;
interactive-short-6;1;0;59065;true;
interactive-short-6;2;0;63098;true;
interactive-short-6;3;1;59640;true;1311
interactive-short-6;4;0;51563;true;
interactive-short-7;0;0;2486;false;
interactive-short-7;1;0;2021;false;
interactive-short-7;2;0;4594;false;
interactive-short-7;3;0;2045;false;
interactive-short-7;4;0;3664;false;
